Player_Id,COUNTRY_ID,Matches,Bat_Innings,Bowl_Innings,Not_Outs,Runs_Scored,Highest_Score,Hundreds,Fifties,Ducks,Maidens,Runs_Conceded,Wickets,BBI,Four_Wkt_Hauls,Five_Wkt_Hauls,Catches,Stumpings,COUNTRY_NAME,ODI_BOWLING.Balls,ODI_BOWLING.SR,Player_Name
1009,NZ,2,0,2,0,0,0,0,0,0,0,117,2,1\53,0,0,0,0,New Zealand,120,60,KP Walmsley
1010,NZ,3,3,0,0,27,21,0,0,1,0,0,0,0,0,0,0,0,New Zealand,0,0,TJ Franklin
1011,NZ,1,1,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,New Zealand,0,0,BG Hadlee
1012,NZ,4,4,0,0,26,14,0,0,0,0,0,0,0,0,0,0,0,New Zealand,0,0,SL Stewart
1013,NZ,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,New Zealand,0,0,RT Hart
1014,NZ,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,New Zealand,0,0,DJ Murray
1015,NZ,1,1,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,New Zealand,0,0,GE Vivian
1016,NZ,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,New Zealand,0,0,RE Redmond
1017,PAK,247,244,13,19,8824,194,20,43,15,3,191,6,2\9,0,0,42,0,Pakistan,242,40.3,Saeed Anwar
1018,PAK,233,218,12,41,7381,119*,8,50,8,3,297,7,2\22,0,0,71,2,Pakistan,436,62.2,Javed Miandad
1019,PAK,283,256,120,38,7170,102,5,47,19,10,2959,89,5\35,1,1,81,0,Pakistan,3505,39.3,Saleem Malik
1020,PAK,250,232,28,29,6564,139*,10,37,14,1,476,5,2\31,0,0,90,0,Pakistan,637,127.4,Ijaz Ahmed
